0,1,2,3,4,5,6,7,8,9,10
24,Общество с ограниченной ответственностью «МТП»,Исключен,1448,04.02.2010 00:00:00,1069847136050,7814342662,не указано,не указано,300000,не указано
25,Общество с ограниченной ответственностью «Первая Управляющая Строительная Компания»,Исключен,1413,04.02.2010 00:00:00,5067847035757,7801408933,не указано,не указано,300000,не указано
26,Общество с ограниченной ответственностью «СТРОЙДЕКОР»,Исключен,1277,28.01.2010 00:00:00,1057813048589,7811332183,не указано,не указано,300000,не указано
27,Общество с ограниченной ответственностью «Спецстрой»,Исключен,912,30.12.2009 00:00:00,1063812000890,3812086670,не указано,не указано,300000,не указано
28,Общество с ограниченной ответственностью «СК «СервисСтрой»,Исключен,1436,04.02.2010 00:00:00,1093528007682,3528158009,не указано,не указано,300000,не указано
29,Общество с ограниченной ответственностью «Технострой»,Исключен,1401,04.02.2010 00:00:00,5087746114264,7719693646,не указано,не указано,1000000,не указано
30,Общество с ограниченной ответственностью «РемТурбоСервис»,Исключен,1474,04.02.2010 00:00:00,1082648000907,2631032760,не указано,не указано,300000,не указано
31,Общество с ограниченной ответственностью «Подрядчик»,Исключен,1150,14.01.2010 00:00:00,1073808027149,3808169860,не указано,не указано,300000,не указано
32,Общество с ограниченной ответственностью «БТСК Констракшн»,Исключен,1452,04.02.2010 00:00:00,1099847013419,7813459146,не указано,не указано,300000,не указано
33,Общество с ограниченной ответственностью «Стройсоюз»,Исключен,1526,11.02.2010 00:00:00,1097847328853,7806421092,не указано,не указано,300000,не указано
34,Общество с ограниченной ответственностью «КОМФОРТ»,Исключен,1214,21.01.2010 00:00:00,1071121000125,1117005732,не указано,не указано,300000,не указано
35,Общество с ограниченной ответственностью «Энергостройкомплект Н»,Исключен,1543,11.02.2010 00:00:00,1089847224500,7805463565,не указано,не указано,300000,не указано
36,Общество с ограниченной ответственностью «РМК»,Исключен,682,28.01.2010 00:00:00,1047855033181,7814303173,не указано,не указано,300000,не указано
37,Закрытое акционерное общество «Арт-техника Северо-Запад»,Исключен,1765,11.03.2010 00:00:00,1089847268774,7805466397,не указано,не указано,300000,не указано
38,Общество с ограниченной ответственностью «ОЛЛИ Лтд.»,Исключен,1563,11.02.2010 00:00:00,1097847271444,7801503320,не указано,не указано,300000,не указано
39,"Общество с ограниченной ответственностью ПСО ""Абрис""",Исключен,2119,20.05.2010 00:00:00,1101690009794,1660136634,не указано,не указано,300000,не указано
40,Общество с ограниченной ответственностью «Контрактстройсервис»,Исключен,1631,18.02.2010 00:00:00,1081650007526,1650176451,не указано,не указано,300000,не указано
41,Общество с ограниченной ответственностью «Рост-Строй»,Исключен,53,16.02.2009 00:00:00,1047847000233,7843000720,не указано,не указано,300000,не указано
42,Общество с ограниченной ответственностью «РосСтрой»,Исключен,1636,18.02.2010 00:00:00,1099847011263,7841417194,не указано,не указано,300000,не указано
43,Закрытое акционерное общество «ДОРТРАНССТРОЙ»,Исключен,1423,13.05.2010 00:00:00,1027804184759,7806029664,не указано,не указано,300000,не указано
44,Общество с ограниченной ответственностью «ЭлСтрой»,Исключен,1877,25.03.2010 00:00:00,1077847586112,7813390409,не указано,не указано,300000,не указано
45,Общество с ограниченной ответственностью «Региональная Инжиниринговая Компания»,Исключен,2315,24.02.2011 00:00:00,1107746509628,7706739300,не указано,не указано,300000,не указано
46,Закрытое акционерное общество «Автоматика РУС»,Исключен,1517,11.02.2010 00:00:00,1037811091119,7805281967,не указано,не указано,500000,не указано
47,Закрытое акционерное общество «АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ и УПРАВЛЕНИЕ»,Исключен,981,30.12.2009 00:00:00,1044700565744,4703074740,не указано,не указано,300000,не указано
48,Общество с ограниченной ответственностью «Научно-производственный центр «Знание»,Исключен,1491,11.02.2010 00:00:00,1097847210482,7838429506,не указано,не указано,300000,не указано
49,Закрытое акционерное общество «Газтехносервис»,Исключен,1589,18.02.2010 00:00:00,1077847567050,7839364330,не указано,не указано,300000,не указано
50,Общество с ограниченной ответственностью «Весава»,Исключен,1717,27.02.2010 00:00:00,1023902296395,3906046793,не указано,не указано,300000,не указано
51,Общество с ограниченной ответственностью «МИТРА»,Исключен,19,20.03.2009 00:00:00,1097847065910,7801491378,не указано,не указано,300000,не указано
52,Общество с ограниченной ответственностью «Алекс»,Исключен,904,30.12.2009 00:00:00,1022603023255,2621002090,не указано,не указано,300000,не указано
53,Общество с ограниченной ответственностью «ПО «Энергореконструкция»,Исключен,1042,11.03.2010 00:00:00,1096658015255,6658351513,не указано,не указано,300000,не указано
54,Общество с ограниченной ответственностью «Производственное предприятие «СТРОЙРЕСУРС»,Исключен,1678,27.02.2010 00:00:00,1075110000602,5110001782,не указано,не указано,300000,не указано
55,Общество с ограниченной ответственностью «ДОРСТРОЙ»,Исключен,1568,11.02.2010 00:00:00,1063327010120,3327824957,не указано,не указано,300000,не указано
56,Общество с ограниченной ответственностью «КАН»,Исключен,1662,18.02.2010 00:00:00,1077847616593,7804372675,не указано,не указано,300000,не указано
57,Общество с ограниченной ответственностью «СТРОФ»,Исключен,1750,11.03.2010 00:00:00,1052600801692,2631027223,не указано,не указано,300000,не указано
58,Общество с ограниченной ответственностью «СтавропольСпецСтрой»,Исключен,1817,11.03.2010 00:00:00,1082635000656,2634079646,не указано,не указано,300000,не указано
59,Общество с ограниченной ответственностью «СИНТ-ПЛЮС»,Исключен,2323,17.03.2011 00:00:00,1027801574020,7802148910,не указано,не указано,300000,не указано
60,Общество с ограниченной ответственностью «СМК»,Исключен,1745,11.03.2010 00:00:00,1097847333869,7817318227,не указано,не указано,300000,не указано
61,Общество с ограниченной ответственностью «Стройподряд»,Исключен,1803,11.03.2010 00:00:00,1040302995480,0326023589,не указано,не указано,300000,не указано
62,Общество с ограниченной ответственностью «БайкалСтройАвтоматика»,Исключен,1757,18.03.2010 00:00:00,1063808148007,3808143510,не указано,не указано,500000,не указано
63,Общество с ограниченной ответственностью «ЭнергоКомп»,Исключен,1878,25.03.2010 00:00:00,1097847273270,7805501179,не указано,не указано,300000,не указано
64,Общество с ограниченной ответственностью «Стройреконструкция»,Исключен,140,16.07.2009 00:00:00,1097847152501,7813445048,не указано,не указано,300000,не указано
65,Общество с ограниченной ответственностью «Гражданские сооружения»,Исключен,64,05.03.2009 00:00:00,1087847011658,7811425222,не указано,не указано,300000,не указано
66,Общество с ограниченной ответственностью «СК СтройЭнергоГарант»,Исключен,1590,18.02.2010 00:00:00,5077746649811,7701717381,не указано,не указано,300000,не указано
67,Общество с ограниченной ответственностью «Каровач-Строй»,Исключен,1054,14.01.2010 00:00:00,1027802515927,7804130595,не указано,не указано,300000,не указано
68,Общество с ограниченной ответственностью «УнрСтрой»,Исключен,62,26.01.2009 00:00:00,1087847028301,7839397624,не указано,не указано,300000,не указано
69,Общество с ограниченной ответственностью «АРКАДА-СИБ»,Исключен,1853,18.03.2010 00:00:00,1023801534976,3811061747,не указано,не указано,300000,не указано
70,Общество с ограниченной ответственностью «Реактор»,Исключен,1855,18.03.2010 00:00:00,1100327000740,0326489210,не указано,не указано,300000,не указано
71,Общество с ограниченной ответственностью «Гарант ССК»,Исключен,1396,04.02.2010 00:00:00,1055609002074,5609044211,не указано,не указано,300000,не указано
72,Открытое акционерное общество «Нарьян - Марокргаз»,Исключен,824,24.12.2009 00:00:00,1028301647186,8300030272,не указано,не указано,300000,не указано
73,Общество с ограниченной ответственностью «СтройСити»,Исключен,1773,11.03.2010 00:00:00,5067847553626,7840349791,не указано,не указано,500000,не указано
74,Общество с ограниченной ответственностью «Акцент Девелопмент»,Исключен,2331,06.04.2011 00:00:00,1067759825319,7713602000,не указано,не указано,300000,не указано
75,Общество с ограниченной ответственностью «Механизированная колонна № 26»,Исключен,1943,01.04.2010 00:00:00,1093535001064,3506004615,не указано,не указано,300000,не указано
76,Общество с ограниченной ответственностью «Нева-Строй»,Исключен,89,30.03.2009 00:00:00,1097847048507,7841403836,не указано,не указано,300000,не указано
77,Общество с ограниченной ответственностью «Энергострой-II»,Исключен,143,16.07.2009 00:00:00,1027809002913,7820029761,не указано,не указано,300000,не указано
78,Общество с ограниченной ответственностью «ТехмаркетСтрой»,Исключен,1956,08.04.2010 00:00:00,5087746205784,7725647616,не указано,не указано,300000,не указано
79,Закрытое акционерное общество «Маттерхорн Констракшн»,Исключен,2339,21.04.2011 00:00:00,1107847402585,7801535459,не указано,не указано,300000,не указано
80,Общество с ограниченной ответственностью «Восточно-Сибирская Строительная Компания»,Исключен,1983,08.04.2010 00:00:00,1100327001741,0326489669,не указано,не указано,300000,не указано
81,"Общество с ограниченной ответственностью Ремонтно-Монтажная Компания ""УНИВЕРСАЛ""",Исключен,1985,08.04.2010 00:00:00,1063808005194,3808132684,не указано,не указано,300000,не указано
82,Общество с ограниченной ответственностью «Три восьмерки плюс»,Исключен,1976,08.04.2010 00:00:00,1090327005933,0326484903,не указано,не указано,300000,не указано
83,Общество с ограниченной ответственностью «Стройлуч»,Исключен,982,30.12.2009 00:00:00,1089847330077,7840397280,не указано,не указано,300000,не указано
84,Общество с ограниченной ответственностью «НАРТ-Монтаж»,Исключен,1377,28.01.2010 00:00:00,1037835086630,7816232866,не указано,не указано,300000,не указано
85,Закрытое акционерное общество «Метэн»,Исключен,1790,11.03.2010 00:00:00,1027808004828,7816030450,не указано,не указано,300000,не указано
86,Общество с ограниченной ответственностью «Русский Дом»,Исключен,1428,04.02.2010 00:00:00,1097847108963,7813442495,не указано,не указано,300000,не указано
87,Общество с ограниченной ответственностью «СК-стройгрупп»,Исключен,1766,11.03.2010 00:00:00,1107847000315,7814457247,не указано,не указано,300000,не указано
88,Общество с ограниченной ответственностью «Петербургдорстрой»,Исключен,9,18.03.2009 00:00:00,1037804033882,7802180390,не указано,не указано,300000,не указано
89,Общество с ограниченной ответственностью «Стройпрайм»,Исключен,1654,18.02.2010 00:00:00,1077847657062,7802410438,не указано,не указано,300000,не указано
90,Общество с ограниченной ответственностью «Третья Падь»,Исключен,1326,28.01.2010 00:00:00,1033801048160,3808098095,не указано,не указано,300000,не указано
91,Общество с ограниченной ответственностью «Купава»,Исключен,1391,04.02.2010 00:00:00,1054700336184,4707022655,не указано,не указано,300000,не указано
92,Общество с ограниченной ответственностью «Балтекс»,Исключен,75,16.03.2009 00:00:00,1097847057440,7841404220,не указано,не указано,300000,не указано
93,Общество с ограниченной ответственностью «ОНИКА»,Исключен,1792,11.03.2010 00:00:00,1077847562759,7840369188,не указано,не указано,300000,не указано
94,Общество с ограниченной ответственностью «ХИМСТРОЙНАЛАДКА»,Исключен,1823,11.03.2010 00:00:00,1089847274879,7839386326,не указано,не указано,300000,не указано
95,Закрытое акционерное общество «ЭМАТЕРМ»,Исключен,2358,12.05.2011 00:00:00,1027808756040,7817017413,не указано,не указано,300000,не указано
96,Общество с ограниченной ответственностью «Прогресс»,Исключен,2114,13.05.2010 00:00:00,1102635003679,2635132444,не указано,не указано,300000,не указано
97,Общество с ограниченной ответственностью «АМС-Сервис»,Исключен,36,29.04.2009 00:00:00,1037843078338,7825505284,не указано,не указано,300000,не указано
98,Общество с ограниченной ответственностью «Строительно-монтажное управление-3»,Исключен,2030,22.04.2010 00:00:00,1077847493932,7810482531,не указано,не указано,300000,не указано
99,Общество с ограниченной ответственностью «РОСТРЕК»,Исключен,1838,18.03.2010 00:00:00,1089847154231,7838406280,не указано,не указано,300000,не указано
100,"Общество с ограниченной ответственностью ""Сервисные Инновационные Технологии Энергетического Комплекса - Центр""",Является членом,806,05.10.2017 00:00:00,1077759227468,7723625046,100000,не превышает шестьдесят миллионов рублей,0,не указано
101,"Общество с ограниченной ответственностью ""ТРАНС-АЛЬЯНС""",Является членом,704,30.06.2017 00:00:00,1077760006235,7727625576,100000,не превышает шестьдесят миллионов рублей,0,не указано
102,"Общество с ограниченной ответственностью ""СКТО ПРОМПРОЕКТ""",Является членом,176,22.09.2009 00:00:00,1037739178344,7735101880,100000,не превышает шестьдесят миллионов рублей,200000,не превышает шестьдесят миллионов рублей
103,"Общество с ограниченной ответственностью ""Логистик - Центр""",Является членом,718,30.06.2017 00:00:00,1147746027901,7704854700,100000,не превышает шестьдесят миллионов рублей,0,не указано
104,"Общество с ограниченной ответственностью ""Самсунг С&Т Корпорация Рус""",Является членом,1323,05.07.2018 00:00:00,5077746887521,7703635938,2000000,не превышает десять миллиардов рублей,7000000,не превышает десять миллиардов рублей
105,"Общество с ограниченной ответственностью ""Специализированный застройщик ""Териберский Берег""",Является членом,306,04.10.2016 00:00:00,1037739970773,7701511447,1500000,не превышает три миллиарда рублей,0,не указано
106,"Общество с ограниченной ответственностью ""РемСтройКом""",Исключен,223,03.11.2009 00:00:00,5077746683383,7733604743,не указано,не указано,300000,не указано
107,"Общество с ограниченной ответственностью ""МагнитСервис""",Исключен,145,24.07.2012 00:00:00,1067761213464,7720571762,не указано,не указано,300000,не указано
108,"Общество с ограниченной ответственностью ""Магаданморнефтегаз""",Исключен,233,08.07.2014 00:00:00,0000000000000,9909394510,не указано,не указано,300000,не указано
109,"Закрытое акционерное общество ""Форпост-менеджмент""",Исключен,222,12.04.2010 00:00:00,1057747716729,7701610550,не указано,не указано,300000,не указано
110,"Общество с ограниченной ответственностью ""Строительное управление 146""",Исключен,186,25.06.2013 00:00:00,1097746087537,7721656289,не указано,не указано,300000,не указано
111,"Общество с ограниченной ответственностью ""ТГВ инжиниринг""",Исключен,274,20.05.2010 00:00:00,5087746044018,7721631534,не указано,не указано,300000,не указано
112,"Общество с ограниченной ответственностью ""Строительная компания Далтес""",Исключен,42,19.01.2010 00:00:00,1067760635161,7714673879,не указано,не указано,300000,не указано
113,"Общество с ограниченной ответственностью ""ТИТАН""",Исключен,174,21.09.2009 00:00:00,1096316001660,6316141930,не указано,не указано,1000000,не указано
114,"Межрегиональное учреждение ""Комитет по строительству, жилищным вопросам и земельной политике""",Исключен,257,04.05.2010 00:00:00,1057746668451,7714597890,не указано,не указано,300000,не указано
115,"Закрытое акционерное общество ""Строй Ка Инженерные Коммуникации""",Исключен,250,05.11.2009 00:00:00,1037739021605,7727151781,не указано,не указано,500000,не указано
116,"Общество с ограниченной ответственностью ""Управление подводно-технических работ""",Исключен,211,20.10.2009 00:00:00,1033400006408,3435059848,не указано,не указано,300000,не указано
117,Индивидуальный предприниматель Сухоруков Сергей Михайлович,Исключен,171,22.03.2010 00:00:00,307312635900021,312602467834,не указано,не указано,300000,не указано
118,"Общество с ограниченной ответственностью ""Мегатрон""",Исключен,101,12.02.2009 00:00:00,1072904000520,2904018407,не указано,не указано,300000,не указано
119,"Общество с ограниченной ответственностью ""Устьянская теплоснабжающая компания""",Исключен,199,06.08.2013 00:00:00,1092907000900,2922008049,не указано,не указано,300000,не указано
120,"Общество с ограниченной ответственностью ""СибЭнергоМонтаж""",Исключен,16,12.02.2009 00:00:00,1020400764416,0411083324,не указано,не указано,300000,не указано
121,"Общество с ограниченной ответственностью ""Монтаж-энергообеспечение""",Исключен,248,27.04.2010 00:00:00,1092204004914,2204046254,не указано,не указано,300000,не указано
122,"Общество с ограниченной ответственностью ""Строительная компания ""Альфа""",Исключен,17,12.02.2009 00:00:00,1020400758322,0411083356,не указано,не указано,300000,не указано
123,"Общество с ограниченной ответственностью ""РАСКО""",Исключен,107,26.12.2011 00:00:00,1064910008613,4909089170,не указано,не указано,300000,не указано
124,"Общество с ограниченной ответственностью ""Городские электросети""",Исключен,73,02.08.2011 00:00:00,1102709000778,2704020102,не указано,не указано,300000,не указано
125,"Общество с ограниченной ответственностью ""Компания системы безопасности ""Орион""",Исключен,290,17.06.2010 00:00:00,1052700236401,2723069985,не указано,не указано,300000,не указано
126,"Общество с ограниченной ответственностью ""ГрандЛайн""",Исключен,103,15.12.2011 00:00:00,1112722008926,2722105976,не указано,не указано,1000000,не указано
127,"Общество с ограниченной ответственностью ""Стройсевер""",Исключен,87,03.10.2011 00:00:00,1041401732558,1434029854,не указано,не указано,300000,не указано
128,"Общество с ограниченной ответственностью специализированное предприятие ""Равен""",Исключен,288,16.11.2009 00:00:00,1051401524503,1433019652,не указано,не указано,300000,не указано
129,"Общество с ограниченной ответственностью ""ТИТАН""",Исключен,232,20.04.2010 00:00:00,1031402027007,1435049740,не указано,не указано,300000,не указано
130,"Общество с ограниченной ответственностью Холдинговая компания ""АМУР-МОСТ""",Исключен,7,14.01.2010 00:00:00,1022800776591,2808015509,не указано,не указано,300000,не указано
131,"Общество с ограниченной ответственностью ""Энергия""",Исключен,302,09.07.2010 00:00:00,1043801033121,3808110828,не указано,не указано,300000,не указано
132,"Общество с ограниченной ответственностью ""Лабиринт""",Исключен,347,15.11.2010 00:00:00,1031900676026,1902018135,не указано,не указано,300000,не указано
133,"Общество с ограниченной ответственностью ""Локкард""",Исключен,203,20.10.2009 00:00:00,1025401914273,5405184891,не указано,не указано,1000000,не указано
134,"Закрытое акционерное общество ""ЭЛЕКТРА""",Исключен,22,12.02.2009 00:00:00,1025403660776,5408109726,не указано,не указано,300000,не указано
135,"Общество с ограниченной ответственностью ""Нирон+""",Исключен,67,13.07.2011 00:00:00,1088905002372,8905044400,не указано,не указано,1000000,не указано
136,"Общество с ограниченной ответственностью ""Электроспецмонтаж""",Исключен,338,05.10.2010 00:00:00,1027201230187,7205008645,не указано,не указано,300000,не указано
137,"Общество с ограниченной ответственностью ""ВостокЭнергоСервис""",Исключен,10,31.01.2011 00:00:00,1106672001754,6672309785,не указано,не указано,300000,не указано
138,"Общество с ограниченной ответственностью ""Вентэл""",Исключен,293,16.11.2009 00:00:00,1025900904633,5904039113,не указано,не указано,300000,не указано
139,"Общество с ограниченной ответственностью ""ПермСтройСервис""",Исключен,179,22.09.2009 00:00:00,1095904006110,5904207336,не указано,не указано,300000,не указано
140,"Общество с ограниченной ответственностью ""Группа предприятий ""КИТ""",Исключен,200,20.10.2009 00:00:00,1095903001336,5903093132,не указано,не указано,300000,не указано
141,"Общество с ограниченной ответственностью ""Строительная Компания ""Квартал""",Исключен,11,21.01.2010 00:00:00,1085902000645,5902843551,не указано,не указано,300000,не указано
142,"Общество с ограниченной ответственностью ""Автоматизация и КиП""",Исключен,340,23.11.2009 00:00:00,1075250003267,5250040372,не указано,не указано,500000,не указано
143,"Общество с ограниченной ответственностью ""СОЮЗ""",Исключен,160,22.03.2010 00:00:00,1025201742280,5249048137,не указано,не указано,300000,не указано
144,"Закрытое акционерное общество ""Холдинговая компания ""СТРОЙЭНЕРГОСЕРВИС""",Исключен,18,12.02.2009 00:00:00,1027700496735,7736121543,не указано,не указано,300000,не указано
145,"Общество с ограниченной ответственностью ""КВК""",Исключен,9,12.02.2009 00:00:00,1025600886112,5609036281,не указано,не указано,300000,не указано
146,"Общество с ограниченной ответственностью ""СпецБашСтрой""",Исключен,461,23.12.2009 00:00:00,1050204698290,0278115759,не указано,не указано,300000,не указано
147,"Общество с ограниченной ответственностью ""Строй-Вектор""",Исключен,33,18.01.2010 00:00:00,1023202737194,3234044947,не указано,не указано,300000,не указано
148,"Общество с ограниченной ответственностью ""ПРОМЭНЕРГЕТИКА""",Исключен,276,24.02.2016 00:00:00,1035004801919,5025014942,не указано,не указано,500000,не указано
149,"Общество с ограниченной ответственностью ""Группа Компаний ПМК""",Исключен,281,25.03.2016 00:00:00,5137746098518,7704850575,не указано,не указано,1000000,не указано
150,"Общество с ограниченной ответственностью ""Югорская Сервисная Компания""",Исключен,283,22.04.2016 00:00:00,1158617001620,8601055249,не указано,не указано,не указано,не указано
151,"Общество с ограниченной ответственностью ""ДЕЛЬТА ГРУП""",Исключен,284,17.05.2016 00:00:00,1027739249196,7707201441,не указано,не указано,1000000,не указано
152,"Общество с ограниченной ответственностью ""СТС""",Исключен,321,25.10.2016 00:00:00,1163256059163,3245011076,1500000,не превышает три миллиарда рублей,не указано,не указано
153,"Общество с ограниченной ответственность ""УралАльпСервис""",Исключен,335,15.11.2016 00:00:00,1035611100161,5616010171,0,не указано,не указано,не указано
154,"Общество с ограниченной ответственностью ""Дельфин""",Исключен,361,29.11.2016 00:00:00,5077746788532,7725606112,0,не указано,не указано,не указано
155,"Общество с ограниченной ответственностью ""Интегрум""",Исключен,371,01.12.2016 00:00:00,5147746449000,7724947688,0,не указано,не указано,не указано
156,"Закрытое акционерное общество ""Коннэкто""",Исключен,375,02.12.2016 00:00:00,1037739389643,7724201240,0,не указано,не указано,не указано
157,"Общество с ограниченной ответственностью ""СтройСоюз""",Исключен,374,02.12.2016 00:00:00,1114823013997,4826079146,500000,не превышает пятьсот миллионов рублей,2500000,не превышает пятьсот миллионов рублей
158,"Общество с ограниченной ответственностью ""Центр Заказчик""",Исключен,392,15.12.2016 00:00:00,5167746322475,7731335196,0,не указано,не указано,не указано
159,"Общество с ограниченной ответственностью ""МетПромСтрой""",Исключен,397,23.12.2016 00:00:00,1107746776059,7704765168,0,не указано,не указано,не указано
160,"Общество с ограниченной ответственностью ""ИнвестЖилСтрой""",Исключен,411,12.01.2017 00:00:00,1137746512694,7714908200,500000,не превышает шестьдесят миллионов рублей,не указано,не указано
161,"Общество с ограниченной ответственностью ""СМУ №155""",Исключен,412,12.01.2017 00:00:00,1147746056490,7717774385,300000,не превышает шестьдесят миллионов рублей,не указано,не указано
162,"Общество с ограниченной ответственностью ""БС-групп Сервис""",Исключен,422,26.01.2017 00:00:00,5087746601190,7727670804,100000,не превышает шестьдесят миллионов рублей,0,не указано
163,"Общество с ограниченной ответственностью ""Рассена Групп""",Исключен,459,10.04.2017 00:00:00,5137746225491,7714924191,0,не указано,0,не указано
164,"Общество с ограниченной ответственностью ""КАПИТАЛ-АС""",Исключен,462,21.04.2017 00:00:00,1037700161531,7719212751,100000,не превышает шестьдесят миллионов рублей,0,не указано
165,"Общество с ограниченной ответственностью ""Даурия-Строй""",Исключен,418,11.12.2009 00:00:00,1068080021900,8001013293,не указано,не указано,300000,не указано
166,"Общество с ограниченной ответственностью Научно-производственная фирма ""Гефест-Электро""",Исключен,468,28.04.2017 00:00:00,1037739612635,7719021154,100000,не превышает шестьдесят миллионов рублей,0,не указано
167,"Общество с ограниченной ответственностью ""Главгорсервис""",Исключен,482,10.05.2017 00:00:00,1097746705308,7733717063,0,не указано,0,не указано
168,"Общество с ограниченной ответственностью ""ДиапазонСервис""",Исключен,485,10.05.2017 00:00:00,5067746847790,7726549604,0,не указано,0,не указано
169,"Общество с ограниченной ответственностью ""ЗЕЛЁНЫЙ СВЕТ""",Исключен,488,11.05.2017 00:00:00,1157746523813,7726342649,0,не указано,0,не указано
170,"Закрытое акционерное общество ""ЮМИРС-монтаж""",Исключен,490,16.05.2017 00:00:00,1057749029777,7721542700,0,не указано,не указано,не указано
171,"Общество с ограниченной ответственностью ""СК 1""",Исключен,494,16.05.2017 00:00:00,1147746794656,7721839155,0,не указано,не указано,не указано
172,"Общество с ограниченной ответственностью ""Точмаш""",Исключен,499,17.05.2017 00:00:00,1135047004179,5047088955,100000,не превышает шестьдесят миллионов рублей,не указано,не указано
173,"Общество с ограниченной ответственностью ""ДВЕСТИ ОДИН""",Исключен,503,19.05.2017 00:00:00,5137746134356,7724900513,0,не указано,не указано,не указано
174,"Общество с ограниченной ответственностью ""ТЕЛЕКОМ""",Исключен,505,19.05.2017 00:00:00,1147746840031,7703814655,0,не указано,не указано,не указано
175,"Общество с ограниченной ответственностью ""Партнер Мастер""",Исключен,510,23.05.2017 00:00:00,1157746469022,7724319789,0,не указано,не указано,не указано
176,"Общество с ограниченной ответственностью ""Автодорсевер""",Исключен,512,23.05.2017 00:00:00,1108602003840,8602169778,100000,не превышает шестьдесят миллионов рублей,не указано,не указано
177,"Общество с ограниченной ответственностью ""ИНЖДОРСТРОЙ""",Исключен,521,23.05.2017 00:00:00,1137746035382,7723860071,0,не указано,не указано,не указано
